,Stability,Std_Deviation,Method
0,4.7158113,0.05,sg003
1,128.11563,0.05,sg003
2,10.856969,0.05,sg003
3,51.571983,0.05,sg003
4,2.2160745,0.05,sg003
5,4767.563,0.05,sg003
6,2.6780381,0.05,sg003
7,3.7803607,0.05,sg003
8,31.698648,0.05,sg003
9,3.48748,0.05,sg003
10,884.196,0.05,sg003
11,40.9019,0.05,sg003
12,206072290.0,0.05,sg003
13,5.433085,0.05,sg003
14,2577408500000.0,0.05,sg003
15,3.6912558,0.05,sg003
16,17312880000.0,0.05,sg003
17,218.87498,0.05,sg003
18,8.924227,0.05,sg003
19,582321.0,0.05,sg003
20,108.225685,0.05,sg003
21,13.400095,0.05,sg003
22,6.7469115,0.05,sg003
23,2.6965342,0.05,sg003
24,7842.738,0.05,sg003
25,187.37105,0.05,sg003
26,3.8339896,0.05,sg003
27,11.120235,0.05,sg003
28,22.72813,0.05,sg003
29,885.16235,0.05,sg003
30,6.1191664,0.05,sg005
31,76.3845,0.05,sg005
32,1.9693886,0.05,sg005
33,22.829498,0.05,sg005
34,170.75362,0.05,sg005
35,282.09412,0.05,sg005
36,14.252595,0.05,sg005
37,3.9691641,0.05,sg005
38,7.780272,0.05,sg005
39,22.43227,0.05,sg005
40,1247.379,0.05,sg005
41,8.055904,0.05,sg005
42,4349310.0,0.05,sg005
43,10.809331,0.05,sg005
44,285867970000.0,0.05,sg005
45,6.3661733,0.05,sg005
46,896551400.0,0.05,sg005
47,33.574463,0.05,sg005
48,8.669186,0.05,sg005
49,2537088.2,0.05,sg005
50,223.39241,0.05,sg005
51,14.913727,0.05,sg005
52,8.6573515,0.05,sg005
53,10.887862,0.05,sg005
54,139.67151,0.05,sg005
55,135.74083,0.05,sg005
56,3.8312912,0.05,sg005
57,9.062173,0.05,sg005
58,11.849448,0.05,sg005
59,2.5843074,0.05,sg005
60,10.232652,0.05,sg010
61,18.379898,0.05,sg010
62,21.404274,0.05,sg010
63,28.095324,0.05,sg010
64,61.06246,0.05,sg010
65,142.64856,0.05,sg010
66,2.5807052,0.05,sg010
67,3.078058,0.05,sg010
68,5.9063272,0.05,sg010
69,2.5309565,0.05,sg010
70,130.16258,0.05,sg010
71,3.5709915,0.05,sg010
72,1634505.2,0.05,sg010
73,10.7452135,0.05,sg010
74,2915949300000.0,0.05,sg010
75,6.4678435,0.05,sg010
76,448102600.0,0.05,sg010
77,39.593197,0.05,sg010
78,4.7023454,0.05,sg010
79,1809203.2,0.05,sg010
80,94.03531,0.05,sg010
81,6.9202213,0.05,sg010
82,2.3559406,0.05,sg010
83,2.610568,0.05,sg010
84,3794.233,0.05,sg010
85,56.908833,0.05,sg010
86,6.7129927,0.05,sg010
87,38.050213,0.05,sg010
88,8.786128,0.05,sg010
89,4.745483,0.05,sg010
