,Faithfulness,Std_Deviation,Method
0,0.015445782,0.05,sg003
1,0.035217945,0.05,sg003
2,0.0066273077,0.05,sg003
3,0.34573844,0.05,sg003
4,0.011918366,0.05,sg003
5,0.16377647,0.05,sg003
6,0.0011420483,0.05,sg003
7,0.004602818,0.05,sg003
8,0.1257707,0.05,sg003
9,0.032621,0.05,sg003
10,0.11444523,0.05,sg003
11,0.04143238,0.05,sg003
12,0.31786814,0.05,sg003
13,0.0024692737,0.05,sg003
14,0.33120006,0.05,sg003
15,0.092236824,0.05,sg003
16,0.31425908,0.05,sg003
17,0.015164125,0.05,sg003
18,0.29981336,0.05,sg003
19,0.15455633,0.05,sg003
20,0.09187351,0.05,sg003
21,0.04205045,0.05,sg003
22,0.27843112,0.05,sg003
23,0.033890285,0.05,sg003
24,0.28645307,0.05,sg003
25,0.23938957,0.05,sg003
26,0.08633696,0.05,sg003
27,0.010517204,0.05,sg003
28,0.16020903,0.05,sg003
29,0.051009566,0.05,sg003
30,0.0035098451,0.05,sg005
31,0.035406683,0.05,sg005
32,0.010015231,0.05,sg005
33,0.3453556,0.05,sg005
34,0.010359729,0.05,sg005
35,0.15935725,0.05,sg005
36,0.00013084113,0.05,sg005
37,0.011143622,0.05,sg005
38,0.16808225,0.05,sg005
39,0.053638916,0.05,sg005
40,0.16454852,0.05,sg005
41,0.037550636,0.05,sg005
42,0.22375357,0.05,sg005
43,0.0025432492,0.05,sg005
44,0.36723453,0.05,sg005
45,0.09685221,0.05,sg005
46,0.31741583,0.05,sg005
47,0.014627438,0.05,sg005
48,0.36764064,0.05,sg005
49,0.1222007,0.05,sg005
50,0.10229375,0.05,sg005
51,0.034033235,0.05,sg005
52,0.25638992,0.05,sg005
53,0.024790168,0.05,sg005
54,0.3062666,0.05,sg005
55,0.2581075,0.05,sg005
56,0.09501624,0.05,sg005
57,0.0072141634,0.05,sg005
58,0.19396415,0.05,sg005
59,0.06910297,0.05,sg005
60,0.002054636,0.05,sg010
61,0.059624042,0.05,sg010
62,0.010928023,0.05,sg010
63,0.33640784,0.05,sg010
64,0.013352637,0.05,sg010
65,0.20080595,0.05,sg010
66,0.00033865453,0.05,sg010
67,0.0041733403,0.05,sg010
68,0.19660732,0.05,sg010
69,0.07275702,0.05,sg010
70,0.12538916,0.05,sg010
71,0.037547234,0.05,sg010
72,0.23697844,0.05,sg010
73,0.005247304,0.05,sg010
74,0.36028004,0.05,sg010
75,0.07704273,0.05,sg010
76,0.29577184,0.05,sg010
77,0.017208977,0.05,sg010
78,0.29325792,0.05,sg010
79,0.13418558,0.05,sg010
80,0.10967339,0.05,sg010
81,0.04240928,0.05,sg010
82,0.2787153,0.05,sg010
83,0.03820477,0.05,sg010
84,0.30697352,0.05,sg010
85,0.24737383,0.05,sg010
86,0.06264595,0.05,sg010
87,0.0071167224,0.05,sg010
88,0.20953333,0.05,sg010
89,0.04291017,0.05,sg010
