,Faithfulness,Std_Deviation,Method
180,0.16241652,0.05,sg010
181,0.11980543,0.05,sg010
182,0.11339913,0.05,sg010
183,0.04539312,0.05,sg010
184,0.1111753,0.05,sg010
185,0.034277767,0.05,sg010
186,0.10754087,0.05,sg010
187,0.007151329,0.05,sg010
188,0.023785992,0.05,sg010
189,0.11318136,0.05,sg010
190,0.147663,0.05,sg010
191,0.1448345,0.05,sg010
192,0.13960342,0.05,sg010
193,0.10309376,0.05,sg010
194,0.026300823,0.05,sg010
195,0.033390693,0.05,sg010
196,0.13530158,0.05,sg010
197,0.16708426,0.05,sg010
198,0.026195858,0.05,sg010
199,0.030331768,0.05,sg010
200,0.11779703,0.05,sg010
201,0.12773706,0.05,sg010
202,0.17155418,0.05,sg010
203,0.08121402,0.05,sg010
204,0.023779178,0.05,sg010
205,0.16006738,0.05,sg010
206,0.026974402,0.05,sg010
207,0.029457362,0.05,sg010
208,0.11280121,0.05,sg010
209,0.0174082,0.05,sg010
210,0.32671225,0.05,lrp
211,0.20363748,0.05,lrp
212,0.29708144,0.05,lrp
213,0.19431351,0.05,lrp
214,0.36026558,0.05,lrp
215,0.23590897,0.05,lrp
216,0.41568753,0.05,lrp
217,0.3763766,0.05,lrp
218,0.29073516,0.05,lrp
219,0.13640521,0.05,lrp
220,0.31657666,0.05,lrp
221,0.38454455,0.05,lrp
222,0.19149369,0.05,lrp
223,0.3085074,0.05,lrp
224,0.37960336,0.05,lrp
225,0.405522,0.05,lrp
226,0.37633124,0.05,lrp
227,0.21863687,0.05,lrp
228,0.14568824,0.05,lrp
229,0.22956592,0.05,lrp
230,0.26788348,0.05,lrp
231,0.21879369,0.05,lrp
232,0.23267819,0.05,lrp
233,0.28192872,0.05,lrp
234,0.34720048,0.05,lrp
235,0.1328447,0.05,lrp
236,0.35960153,0.05,lrp
237,0.19673687,0.05,lrp
238,0.3374856,0.05,lrp
239,0.30994985,0.05,lrp
240,0.40372032,0.05,lrp
241,0.25946322,0.05,lrp
242,0.22611439,0.05,lrp
243,0.34670553,0.05,lrp
244,0.2691657,0.05,lrp
245,0.3519239,0.05,shap
246,0.18234336,0.05,shap
247,0.04040973,0.05,shap
248,0.37782344,0.05,shap
249,0.35663182,0.05,shap
250,0.36559838,0.05,shap
251,0.38738254,0.05,shap
252,0.3851335,0.05,shap
253,0.3041311,0.05,shap
254,0.15401345,0.05,shap
255,0.31022295,0.05,shap
256,0.39180663,0.05,shap
257,0.18347618,0.05,shap
258,0.2795859,0.05,shap
259,0.39944744,0.05,shap
260,0.37982532,0.05,shap
261,0.3838306,0.05,shap
262,0.4020431,0.05,shap
263,0.14817682,0.05,shap
264,0.27363592,0.05,shap
265,0.056475908,0.05,shap
266,0.39898434,0.05,shap
267,0.3879019,0.05,shap
268,0.25845274,0.05,shap
269,0.06491394,0.05,shap
270,0.12924337,0.05,shap
271,0.34102082,0.05,shap
272,0.38623384,0.05,shap
273,0.35321015,0.05,shap
274,0.22977237,0.05,shap
275,0.12700276,0.05,shap
276,0.2861162,0.05,shap
277,0.26181543,0.05,shap
278,0.36211964,0.05,shap
279,0.23530138,0.05,shap
280,0.09165437,0.05,lime003
281,0.011436187,0.05,lime003
282,0.028639166,0.05,lime003
283,0.08958473,0.05,lime003
284,0.043166116,0.05,lime003
285,0.12122475,0.05,lime003
286,0.096701495,0.05,lime003
287,0.127728,0.05,lime003
288,0.052833147,0.05,lime003
289,0.06816152,0.05,lime003
290,0.0372296,0.05,lime003
291,0.13105755,0.05,lime003
292,0.0045091426,0.05,lime003
293,0.028782282,0.05,lime003
294,0.09264257,0.05,lime003
295,0.124045126,0.05,lime003
296,0.12063859,0.05,lime003
297,0.13015416,0.05,lime003
298,0.086657904,0.05,lime003
299,0.028766498,0.05,lime003
300,0.036377773,0.05,lime003
301,0.1476476,0.05,lime003
302,0.12971291,0.05,lime003
303,0.03695617,0.05,lime003
304,0.048997384,0.05,lime003
305,0.13553628,0.05,lime003
306,0.09358734,0.05,lime003
307,0.117139176,0.05,lime003
308,0.0736873,0.05,lime003
309,0.045877352,0.05,lime003
310,0.13379508,0.05,lime003
311,0.025015002,0.05,lime003
312,0.029133722,0.05,lime003
313,0.077878654,0.05,lime003
314,0.03022797,0.05,lime003
315,0.117050916,0.05,lime005
316,0.013856082,0.05,lime005
317,0.021672346,0.05,lime005
318,0.09868106,0.05,lime005
319,0.049088646,0.05,lime005
320,0.13225147,0.05,lime005
321,0.110916525,0.05,lime005
322,0.14322147,0.05,lime005
323,0.07755552,0.05,lime005
324,0.09307229,0.05,lime005
325,0.048956774,0.05,lime005
326,0.10888133,0.05,lime005
327,0.009132553,0.05,lime005
328,0.023219952,0.05,lime005
329,0.08909235,0.05,lime005
330,0.14663777,0.05,lime005
331,0.11436896,0.05,lime005
332,0.13161606,0.05,lime005
333,0.09910791,0.05,lime005
334,0.03933666,0.05,lime005
335,0.029324431,0.05,lime005
336,0.13206881,0.05,lime005
337,0.1304904,0.05,lime005
338,0.027512588,0.05,lime005
339,0.05342867,0.05,lime005
340,0.107336864,0.05,lime005
341,0.10941883,0.05,lime005
342,0.14466646,0.05,lime005
343,0.086291544,0.05,lime005
344,0.025546702,0.05,lime005
345,0.14072923,0.05,lime005
346,0.043853864,0.05,lime005
347,0.0256671,0.05,lime005
348,0.08427619,0.05,lime005
349,0.032944202,0.05,lime005
350,0.09312578,0.05,lime01
351,0.014393082,0.05,lime01
352,0.033951953,0.05,lime01
353,0.09620377,0.05,lime01
354,0.07371622,0.05,lime01
355,0.13984555,0.05,lime01
356,0.10767211,0.05,lime01
357,0.12884367,0.05,lime01
358,0.051431447,0.05,lime01
359,0.08075941,0.05,lime01
360,0.05311378,0.05,lime01
361,0.13883728,0.05,lime01
362,0.005768708,0.05,lime01
363,0.028479306,0.05,lime01
364,0.08221837,0.05,lime01
365,0.13218285,0.05,lime01
366,0.09650591,0.05,lime01
367,0.14017299,0.05,lime01
368,0.07989697,0.05,lime01
369,0.04748794,0.05,lime01
370,0.042856354,0.05,lime01
371,0.13983794,0.05,lime01
372,0.1683796,0.05,lime01
373,0.032117378,0.05,lime01
374,0.037815105,0.05,lime01
375,0.11686382,0.05,lime01
376,0.109912895,0.05,lime01
377,0.14237332,0.05,lime01
378,0.079992786,0.05,lime01
379,0.036764834,0.05,lime01
380,0.12883903,0.05,lime01
381,0.04191252,0.05,lime01
382,0.034436896,0.05,lime01
383,0.078341104,0.05,lime01
384,0.035332795,0.05,lime01
