,Stability,Method
0,1.387172814306434,grad
1,0.6227485476746234,grad
2,0.19544413893009246,grad
3,0.1737952563740352,grad
4,0.38716605927916964,grad
5,0.9648006135770004,grad
6,0.1649527011538883,grad
7,0.20397725291331353,grad
8,0.13349209832826836,grad
9,0.12147190705034154,grad
10,0.27639324749037747,grad
11,0.5551900225880034,grad
12,0.14828092442417967,grad
13,0.14394559460688558,grad
14,0.3104244708997368,grad
15,0.1652442855048254,grad
16,0.14664004665539979,grad
17,1.137495682287022,grad
18,0.1489086640434818,grad
19,0.37162094553743036,grad
20,0.13913922074025675,grad
21,0.43215469149450786,grad
22,0.4931456665889911,grad
23,0.3653559376621839,grad
24,0.25094714675165436,grad
25,0.3805885041766652,grad
26,0.11876955817680616,grad
27,0.2902844086470498,grad
28,0.20981688862427683,grad
29,0.11386286431146304,grad
30,0.09855804635169471,grad
31,0.05078820883363147,grad
32,0.1932616925499732,grad
33,0.3457659669692712,grad
34,1.8467601149201498,grad
35,0.1386108869826425,grad
36,0.498948492980788,grad
37,0.10332207389380683,grad
38,0.21968905993601814,grad
39,1.1989399548618611,grad
40,0.19164838232115708,grad
41,0.19944198742844568,grad
42,0.8678486658377085,grad
43,0.18121317259602493,grad
44,0.04246549418971867,grad
45,0.1524504164717474,grad
46,0.12365880292000765,grad
47,0.07573607873647058,grad
48,0.19995815109866055,grad
49,0.08843423259873662,grad
50,17.263860841172615,grad
51,0.36500099494352684,grad
52,0.2841261305841138,grad
53,0.3687725820324652,grad
54,0.15994479176270474,grad
55,0.1157033233266483,grad
56,0.1585415641350191,grad
57,0.2326771280577064,grad
58,0.16843310901085154,grad
59,0.15971815041148507,grad
60,0.5334243190711427,grad
61,0.14131003080889784,grad
62,0.36235062357849035,grad
63,0.1579879471506588,grad
64,0.1803285709909597,grad
65,0.3953753663166016,grad
66,0.2551057202955557,grad
67,0.16572832567301593,grad
68,22.70148816017439,grad
69,0.07222840674567019,grad
70,0.2893646405401372,grad
71,0.18829176955071839,grad
72,0.3643497576978254,grad
73,0.18212474692819183,grad
74,0.14347137103436675,grad
75,0.35479485979300524,grad
76,0.2604134736368174,grad
77,1.0131314466071584,grad
78,0.40526795655847686,grad
79,0.1467478889517607,grad
80,0.2439817663296679,grad
81,0.22920992797635031,grad
82,0.33486663186658877,grad
83,0.08839207021957836,grad
84,0.18435434881563287,grad
85,0.4185420759986403,grad
86,0.09450547422506037,grad
87,0.1271855060964142,grad
88,4.05653252642099,grad
89,1.0760580493894576,grad
90,0.170474567569637,grad
91,0.3457916463689243,grad
92,0.27933670771107416,grad
93,0.07888819993648326,grad
94,1.2853717957125004,grad
95,0.2129652948450638,grad
96,0.315720237431804,grad
97,0.29602274805367834,grad
98,0.2026260160725855,grad
99,0.6662329124210378,grad
100,0.08547195128072627,ig
101,0.21657243825889236,ig
102,0.09638344336736003,ig
103,0.08804812737942326,ig
104,0.040119437089355676,ig
105,0.6400045563950103,ig
106,0.10669609934841266,ig
107,0.10772385858941828,ig
108,0.12473226487254709,ig
109,0.08442172647416736,ig
110,0.13462913976796412,ig
111,0.32102481978518793,ig
112,0.07474658193769165,ig
113,0.09498688166266422,ig
114,0.16225644855367435,ig
115,0.08745944397976563,ig
116,0.07110425149493754,ig
117,0.8176683150764598,ig
118,0.13781328412304888,ig
119,0.1776616621835838,ig
120,0.0810844056711337,ig
121,0.10627339552688461,ig
122,0.23382687224616028,ig
123,0.15059689786219446,ig
124,0.13104951564052447,ig
125,0.25349551815177185,ig
126,0.06110945900989791,ig
127,0.1416295243535286,ig
128,0.1417296352502717,ig
129,0.09931057722549229,ig
130,0.05072835038001746,ig
131,0.058751596437807224,ig
132,0.09900532615239808,ig
133,0.16637403848033647,ig
134,0.9533893301682947,ig
135,0.0862838145986547,ig
136,0.3341042965410841,ig
137,0.05026201750015983,ig
138,0.11058030839824774,ig
139,0.58854844624469,ig
140,0.12020453461173294,ig
141,0.0988501445526717,ig
142,0.5195635375326284,ig
143,0.10452241393345392,ig
144,0.038845649092661666,ig
145,0.06775756446140713,ig
146,0.09870178750062693,ig
147,0.046003308598181004,ig
148,0.11222801063633009,ig
149,0.060359828453796095,ig
150,8.804467560521863,ig
151,0.17395838529354996,ig
152,0.17191458521980418,ig
153,0.21978290686097463,ig
154,0.11087710470237615,ig
155,0.06891716857507887,ig
156,0.08973601543916725,ig
157,0.13363787458913093,ig
158,0.08909843273057529,ig
159,0.07621881316954646,ig
160,0.2980121485325071,ig
161,0.09378375997222763,ig
162,0.22645281278158694,ig
163,0.08119555452877503,ig
164,0.11816358479149384,ig
165,0.12471748272358667,ig
166,0.12297100834110393,ig
167,0.08684789180449697,ig
168,11.695942186104995,ig
169,0.05728174678735666,ig
170,0.14986274245968464,ig
171,0.09052532441774472,ig
172,0.1859048637960562,ig
173,0.13323993271906578,ig
174,0.08040785888248872,ig
175,0.17750960515825587,ig
176,0.12812031239879468,ig
177,0.5392286697444154,ig
