,Stability,Method
0,54.30552291870117,grad
1,107.10438537597656,grad
2,167.84725952148438,grad
3,522.076171875,grad
4,1071.604248046875,grad
5,76.24727630615234,grad
6,786.381591796875,grad
7,429.9923095703125,grad
8,61.00014877319336,grad
9,593.2477416992188,grad
10,8.432374954223633,grad
11,725.4365234375,grad
12,470.8905944824219,grad
13,115.84758758544922,grad
14,1146.0809326171875,grad
15,1103.2327880859375,grad
16,484.4353942871094,grad
17,1083.349853515625,grad
18,74.51889038085938,grad
19,1106.664306640625,grad
20,395.41278076171875,grad
21,937.7283935546875,grad
22,747.10546875,grad
23,1165.357421875,grad
24,671.3965454101562,grad
25,773.4633178710938,grad
26,8.19067668914795,grad
27,1002.8059692382812,grad
28,1358.30126953125,grad
29,940.0884399414062,grad
30,815.5771484375,grad
31,33.01035690307617,grad
32,655.3692626953125,grad
33,638.8038330078125,grad
34,1098.1295166015625,grad
35,90.94623565673828,grad
36,581.843017578125,grad
37,323.49224853515625,grad
38,458.1331481933594,grad
39,1334.5145263671875,grad
40,1192.0748291015625,grad
41,1377.501708984375,grad
42,607.0537109375,grad
43,518.853271484375,grad
44,787.4790649414062,grad
45,626.7228393554688,grad
46,382.1231384277344,grad
47,1273.7847900390625,grad
48,96.07986450195312,grad
49,11.543037414550781,grad
50,338.9568176269531,grad
51,1289.376220703125,grad
52,1114.4908447265625,grad
53,117.59520721435547,grad
54,443.85321044921875,grad
55,982.765869140625,grad
56,825.0018920898438,grad
57,1282.095703125,grad
58,543.0234985351562,grad
59,680.697509765625,grad
60,1268.255126953125,grad
61,1290.5301513671875,grad
62,452.01348876953125,grad
63,45.1403923034668,grad
64,8.976984977722168,grad
65,129.03224182128906,grad
66,184.1521453857422,grad
67,1228.012451171875,grad
68,39.207000732421875,grad
69,53.86945724487305,grad
70,333.56060791015625,grad
71,28.856571197509766,grad
72,1220.1016845703125,grad
73,182.5003662109375,grad
74,1340.5987548828125,grad
75,625.1531372070312,grad
76,844.0144653320312,grad
77,521.3912963867188,grad
78,437.660400390625,grad
79,288.6160583496094,grad
80,659.2503662109375,grad
81,420.0274658203125,grad
82,921.5971069335938,grad
83,860.9370727539062,grad
84,217.0453338623047,grad
85,340.8217468261719,grad
86,703.7075805664062,grad
87,1249.010498046875,grad
88,217.1806182861328,grad
89,1130.47216796875,grad
90,470.4792175292969,grad
91,522.9522094726562,grad
92,174.5190887451172,grad
93,430.9465026855469,grad
94,1088.61181640625,grad
95,46.73323440551758,grad
96,588.3660888671875,grad
97,989.816650390625,grad
98,163.57232666015625,grad
99,784.7691650390625,grad
100,106.58973319979192,ig
101,168.97198589634075,ig
102,170.77200022075854,ig
103,360.86292787513565,ig
104,585.0286259442735,ig
105,121.00454810038266,ig
106,248.09902484831827,ig
107,298.5146388738277,ig
108,104.4468950297245,ig
109,358.574795939662,ig
110,84.48304736006565,ig
111,415.8147452332438,ig
112,329.85367113648283,ig
113,155.5706208343924,ig
114,606.8845600062126,ig
115,554.2092306501867,ig
116,358.51617640449354,ig
117,537.3628713458095,ig
118,125.11523859951998,ig
119,165.95125385176047,ig
120,310.53041790521115,ig
121,492.47151048507783,ig
122,413.4353875779008,ig
123,581.2347154994525,ig
124,387.7674992879565,ig
125,420.06059928784725,ig
126,61.595669095736724,ig
127,505.4631895688888,ig
128,692.3671286122496,ig
129,510.84599185334037,ig
130,457.77186746824594,ig
131,85.95786483529206,ig
132,379.62436090222593,ig
133,403.09283685857616,ig
134,610.1948046611294,ig
135,212.00833364637535,ig
136,360.81822217232394,ig
137,248.7365973884521,ig
138,319.81938924769105,ig
139,676.5572630912787,ig
140,593.3741799380791,ig
141,688.2138396557037,ig
142,358.34163126771074,ig
143,333.3215636513992,ig
144,263.213543360749,ig
145,391.65845320926377,ig
146,297.1860271329361,ig
147,656.748856865671,ig
148,130.43865747515326,ig
149,57.59524047081867,ig
150,262.110577732909,ig
151,632.9934972944172,ig
152,634.4637499071138,ig
153,156.46306921690075,ig
154,316.73898741045156,ig
155,507.6543950333803,ig
156,445.1997023158022,ig
157,645.5888839989063,ig
158,332.1457263189241,ig
159,394.5201059427985,ig
160,612.9565998459706,ig
161,626.1580271804897,ig
162,315.887662117307,ig
163,96.7512573735547,ig
164,48.087579735427994,ig
165,159.73706985058686,ig
166,187.71103926735435,ig
167,611.8295263530243,ig
168,94.26096850079416,ig
169,111.02072438227582,ig
170,264.5861987532428,ig
171,74.8556892690514,ig
172,590.1023937834423,ig
173,195.12324531833625,ig
174,673.5551001207041,ig
175,390.3336437738212,ig
176,293.06548525169956,ig
177,345.898523765104,ig
178,306.0563761341125,ig
179,243.87192373206247,ig
180,381.57371478100333,ig
181,304.33769660873816,ig
182,494.365350037841,ig
183,560.0560376334373,ig
184,218.93414895334016,ig
185,254.87827535665915,ig
186,290.1119645797274,ig
187,602.29386076965,ig
188,219.92941809736803,ig
189,637.4590986101035,ig
190,346.89452861890794,ig
191,339.66692724180234,ig
192,185.12533972875084,ig
193,303.87387241857164,ig
194,581.0249525331106,ig
195,97.07119885024571,ig
