,Stability,Std_Deviation,Method
0,85.17650604248047,0.05,grad
1,269.1102600097656,0.05,grad
2,249.8234405517578,0.05,grad
3,228.66966247558594,0.05,grad
4,2.2509005069732666,0.05,grad
5,543.061279296875,0.05,grad
6,975.2771606445312,0.05,grad
7,2.18576979637146,0.05,grad
8,5618.13916015625,0.05,grad
9,1.7123457193374634,0.05,grad
10,1.6023356914520264,0.05,grad
11,0.9959608912467957,0.05,grad
12,2.050213575363159,0.05,grad
13,306.4561767578125,0.05,grad
14,2.1981465816497803,0.05,grad
15,2.252225160598755,0.05,grad
16,1.6501619815826416,0.05,grad
17,1.5005532503128052,0.05,grad
18,2.042436122894287,0.05,grad
19,61.80657196044922,0.05,grad
20,1.9089064598083496,0.05,grad
21,71.55580139160156,0.05,grad
22,0.23055966198444366,0.05,grad
23,2.2559404373168945,0.05,grad
24,174.81309509277344,0.05,grad
25,204.79180908203125,0.05,grad
26,2.2399585247039795,0.05,grad
27,1.8056615591049194,0.05,grad
28,103.24955749511719,0.05,grad
29,0.17750319838523865,0.05,grad
30,2.143033742904663,0.05,grad
31,0.28533947467803955,0.05,grad
32,1.177539587020874,0.05,grad
33,0.8770635724067688,0.05,grad
34,1.765249252319336,0.05,grad
35,2706.662728703393,0.05,ig
36,4213.386054390443,0.05,ig
37,245.504338129717,0.05,ig
38,1158.039456008941,0.05,ig
39,1.5069782814603498,0.05,ig
40,198.69460304592855,0.05,ig
41,2966.9232886976165,0.05,ig
42,1.7495378575944267,0.05,ig
43,1646.99585980803,0.05,ig
44,1.415802722831306,0.05,ig
45,1.5118795110904735,0.05,ig
46,1.4898772250053613,0.05,ig
47,1.4360008982538064,0.05,ig
48,825.1755934325649,0.05,ig
49,1.5268230256711741,0.05,ig
50,1.598982779171437,0.05,ig
51,1.5525884291403036,0.05,ig
52,1.6496206041367067,0.05,ig
53,1.5962988902162596,0.05,ig
54,789.2570910732002,0.05,ig
55,1.6306934709664893,0.05,ig
56,148.8661118774224,0.05,ig
57,0.8550952951910605,0.05,ig
58,1.814035149196743,0.05,ig
59,1268.7353394822346,0.05,ig
60,762.7688417324827,0.05,ig
61,1.7325690443630752,0.05,ig
62,1.4859075361299678,0.05,ig
63,54.087177160842685,0.05,ig
64,0.8044884459798713,0.05,ig
65,1.505174671273732,0.05,ig
66,0.9538112436655135,0.05,ig
67,1.306470034112961,0.05,ig
68,1.2920726779797158,0.05,ig
69,1.6428329351498352,0.05,ig
70,436.26458740234375,0.05,itg
71,238.5495147705078,0.05,itg
72,12.238017082214355,0.05,itg
73,132.94650268554688,0.05,itg
74,7.874410629272461,0.05,itg
75,16.491195678710938,0.05,itg
76,5328.02978515625,0.05,itg
77,14.048912048339844,0.05,itg
78,183.38563537597656,0.05,itg
79,82.56986999511719,0.05,itg
80,3.165025472640991,0.05,itg
81,2.879232168197632,0.05,itg
82,15.919012069702148,0.05,itg
83,23.335636138916016,0.05,itg
84,50.48493194580078,0.05,itg
85,14.83967399597168,0.05,itg
86,10.897294998168945,0.05,itg
87,52.30097579956055,0.05,itg
88,17.719133377075195,0.05,itg
89,129.7816925048828,0.05,itg
90,8.059656143188477,0.05,itg
91,14.82923698425293,0.05,itg
92,1.5706781148910522,0.05,itg
93,37.6131477355957,0.05,itg
94,160.2247314453125,0.05,itg
95,1286.147705078125,0.05,itg
96,25.33834457397461,0.05,itg
97,23.298900604248047,0.05,itg
98,145.9588165283203,0.05,itg
99,1.8863742351531982,0.05,itg
100,10.789907455444336,0.05,itg
101,0.8801876306533813,0.05,itg
102,203.67677307128906,0.05,itg
103,8.257322311401367,0.05,itg
104,9.433001518249512,0.05,itg
105,255.25027465820312,0.05,sg003
106,2.205008029937744,0.05,sg003
107,15.341570854187012,0.05,sg003
108,5.729441165924072,0.05,sg003
109,134.21414184570312,0.05,sg003
110,5.554144859313965,0.05,sg003
111,26.056076049804688,0.05,sg003
112,5.631287574768066,0.05,sg003
113,1.1936691999435425,0.05,sg003
114,10.213493347167969,0.05,sg003
115,16.278329849243164,0.05,sg003
116,6116.9296875,0.05,sg003
117,19.672693252563477,0.05,sg003
118,2.3743317127227783,0.05,sg003
119,23.288087844848633,0.05,sg003
120,7.398746490478516,0.05,sg003
121,1.864900827407837,0.05,sg003
122,64.0654067993164,0.05,sg003
123,12.223947525024414,0.05,sg003
124,6.03839111328125,0.05,sg003
125,7.473825454711914,0.05,sg003
126,2.576307773590088,0.05,sg003
127,167.26734924316406,0.05,sg003
128,7.412894248962402,0.05,sg003
129,33.96343231201172,0.05,sg003
130,27.591388702392578,0.05,sg003
131,2.130143642425537,0.05,sg003
132,2.1947021484375,0.05,sg003
133,571.1895141601562,0.05,sg003
134,308.7694396972656,0.05,sg003
135,5.129192352294922,0.05,sg003
136,2.7205605506896973,0.05,sg003
137,10.576382637023926,0.05,sg003
138,2.456841230392456,0.05,sg003
139,11.053821563720703,0.05,sg003
140,2.353214740753174,0.05,sg005
141,5.567735195159912,0.05,sg005
142,36.73382568359375,0.05,sg005
143,1.807694435119629,0.05,sg005
144,14.433728218078613,0.05,sg005
145,12.950096130371094,0.05,sg005
146,7.658672332763672,0.05,sg005
147,20.56403160095215,0.05,sg005
148,4.054859161376953,0.05,sg005
149,8.332377433776855,0.05,sg005
150,6.166191101074219,0.05,sg005
151,2.241346597671509,0.05,sg005
152,2.1799240112304688,0.05,sg005
153,27.530803680419922,0.05,sg005
154,2.7814548015594482,0.05,sg005
155,12.553820610046387,0.05,sg005
156,1.8073402643203735,0.05,sg005
157,3.606384515762329,0.05,sg005
158,6.8038506507873535,0.05,sg005
159,14.645304679870605,0.05,sg005
160,1.8017159700393677,0.05,sg005
161,3.1052796840667725,0.05,sg005
162,9.3007230758667,0.05,sg005
163,2.2769219875335693,0.05,sg005
164,91.17314147949219,0.05,sg005
165,2.120953321456909,0.05,sg005
166,3.8941757678985596,0.05,sg005
167,4.5048828125,0.05,sg005
168,8.618379592895508,0.05,sg005
169,2.2382869720458984,0.05,sg005
170,11.684488296508789,0.05,sg005
171,2.5926015377044678,0.05,sg005
172,4.626007556915283,0.05,sg005
173,9.388751029968262,0.05,sg005
174,11.343830108642578,0.05,sg005
175,3.960205078125,0.05,sg010
176,3.52337908744812,0.05,sg010
177,15.49307632446289,0.05,sg010
178,130.04356384277344,0.05,sg010
179,40.22934341430664,0.05,sg010
180,2.782198429107666,0.05,sg010
181,179.1389617919922,0.05,sg010
182,205.41815185546875,0.05,sg010
183,47.01438522338867,0.05,sg010
184,5.520065784454346,0.05,sg010
185,20.499197006225586,0.05,sg010
186,8.094339370727539,0.05,sg010
187,2.429790735244751,0.05,sg010
188,5.710085391998291,0.05,sg010
189,75.2691650390625,0.05,sg010
190,11.317419052124023,0.05,sg010
191,2.561753749847412,0.05,sg010
192,5.481978893280029,0.05,sg010
193,16.740276336669922,0.05,sg010
194,20.908344268798828,0.05,sg010
195,11.71456241607666,0.05,sg010
196,7.5715556144714355,0.05,sg010
197,2.002410888671875,0.05,sg010
198,9.798317909240723,0.05,sg010
199,28.05388641357422,0.05,sg010
200,14.415318489074707,0.05,sg010
201,574.1580200195312,0.05,sg010
202,9.446185111999512,0.05,sg010
203,12.047954559326172,0.05,sg010
204,31.432819366455078,0.05,sg010
205,5.657577991485596,0.05,sg010
206,2.61781644821167,0.05,sg010
207,6.44167947769165,0.05,sg010
208,1.0246076583862305,0.05,sg010
209,29.780925750732422,0.05,sg010
210,4.320085048675537,0.05,lrp
211,28.69759178161621,0.05,lrp
212,59.18708038330078,0.05,lrp
213,265.7132568359375,0.05,lrp
214,225.36956787109375,0.05,lrp
215,51.05872344970703,0.05,lrp
216,1878.1390380859375,0.05,lrp
217,1173.9388427734375,0.05,lrp
218,249.7358856201172,0.05,lrp
219,30.64947509765625,0.05,lrp
220,39.3493537902832,0.05,lrp
221,13.88371753692627,0.05,lrp
222,371.65472412109375,0.05,lrp
223,10.631836891174316,0.05,lrp
224,3399.81494140625,0.05,lrp
225,196.2547607421875,0.05,lrp
226,42.302940368652344,0.05,lrp
227,111.95980834960938,0.05,lrp
