,Stability,Method
147,121868.85725033154,ig
148,134661.79664021436,ig
149,40397.26422208202,ig
150,9293.091698058386,ig
151,7145.000483268421,ig
152,1002.2434490201791,ig
153,1094.86545802762,ig
154,829.7432212093796,ig
155,14992.059678957063,ig
156,4502.619790788707,ig
157,1371.1417808260956,ig
158,13083.535978023516,ig
159,972.5517555037659,ig
160,50582.88120663664,ig
161,233721.06701633814,ig
162,24190.033921945294,ig
163,129994.08817226141,ig
164,1537.263914218729,ig
165,114429.85510344389,ig
166,237327.5742944091,ig
167,1959.043588871767,ig
168,19608.484235228843,ig
169,73143.67246501088,ig
170,1418.2579361572145,ig
171,22852.621722295233,ig
172,463943.8212914238,ig
173,1821.123144209158,ig
174,81546.0096551412,ig
175,1927.7733513699488,ig
176,955.9976006887175,ig
177,556.1344881497005,ig
178,11171.465290648559,ig
179,2392.735786642425,ig
180,4794.463227009293,ig
181,13414.515178865719,ig
182,1554.7541309818432,ig
183,6956.474431739708,ig
184,1449.9192315381167,ig
185,13535.454243315078,ig
186,8297.34240061066,ig
187,6250.137983996786,ig
188,3728.9179728485706,ig
189,1786.4874168738816,ig
190,277973.1671466012,ig
191,3837.405072594607,ig
192,2183.617689453012,ig
193,7062.092258236696,ig
194,1047.723241380785,ig
195,53175.57003886879,ig
196,61285.55838353963,ig
197,17588.584423127686,ig
198,1301.0073555806232,ig
199,368.27286929537144,ig
200,759.4804077148438,itg
201,1683.8502197265625,itg
202,18212.146484375,itg
203,592.533203125,itg
204,3812.56494140625,itg
205,9986.5859375,itg
206,945.0699462890625,itg
207,5844.154296875,itg
208,545.1544799804688,itg
209,1659.73046875,itg
210,224.884033203125,itg
211,2474.89306640625,itg
212,2312.754638671875,itg
213,2325.108154296875,itg
214,16086.7021484375,itg
215,31013.3515625,itg
216,252.51710510253906,itg
217,4785.51953125,itg
218,19534.5234375,itg
219,634.026611328125,itg
220,1698.2679443359375,itg
221,54.10219192504883,itg
222,10180.625,itg
223,9047.2822265625,itg
224,1899.6444091796875,itg
225,3178.55224609375,itg
226,585.1402587890625,itg
227,17104.234375,itg
228,15268.4169921875,itg
229,10541.572265625,itg
230,2329.015380859375,itg
231,195.47604370117188,itg
232,46833.55078125,itg
233,665.4207153320312,itg
234,10998.9482421875,itg
235,2028.955078125,itg
236,407046.625,itg
237,17888.33984375,itg
238,59.60902786254883,itg
239,64408.09375,itg
240,585.10205078125,itg
241,1330.5084228515625,itg
242,20635.60546875,itg
243,31.796733856201172,itg
244,1277.0772705078125,itg
245,3317.72900390625,itg
246,532.0493774414062,itg
247,20279.341796875,itg
248,12864.9931640625,itg
249,4478.8564453125,itg
250,943.3783569335938,itg
251,5054.4384765625,itg
252,298.9245910644531,itg
253,959.8829956054688,itg
254,19.55323600769043,itg
255,16675.923828125,itg
256,2604.6328125,itg
257,13.119525909423828,itg
258,9766.7275390625,itg
259,79.27307891845703,itg
260,49073.35546875,itg
261,71867.9921875,itg
262,60811.33203125,itg
263,34963.95703125,itg
264,765.0416870117188,itg
265,18176.966796875,itg
266,60853.6796875,itg
267,2512.127197265625,itg
268,80.59415435791016,itg
269,9092.828125,itg
270,580.373046875,itg
271,2945.460205078125,itg
272,772888.875,itg
273,1553.0311279296875,itg
274,16826.162109375,itg
275,58.59498977661133,itg
276,153.825927734375,itg
277,108.3481216430664,itg
278,1774.2076416015625,itg
279,4420.099609375,itg
280,1765.9737548828125,itg
281,24.142274856567383,itg
282,147.016845703125,itg
283,8102.50634765625,itg
284,414.1532287597656,itg
285,6844.7421875,itg
286,7546.4091796875,itg
287,9633.943359375,itg
288,1989.8216552734375,itg
289,1000.6463012695312,itg
290,131419.625,itg
291,188.776611328125,itg
292,809.9352416992188,itg
293,9288.7373046875,itg
294,399.1241760253906,itg
295,29122.484375,itg
296,19637.958984375,itg
297,4620.62841796875,itg
298,265.9415283203125,itg
299,12.117283821105957,itg
300,6.960840702056885,sg005
301,10.72261905670166,sg005
302,31.284292221069336,sg005
303,141.1943817138672,sg005
304,18.35935401916504,sg005
305,18.110897064208984,sg005
306,3.2331387996673584,sg005
307,84.17239379882812,sg005
308,7.512988567352295,sg005
309,24.406126022338867,sg005
310,4.3158369064331055,sg005
311,5.692180156707764,sg005
312,32.87872314453125,sg005
313,28.770530700683594,sg005
314,47.16068649291992,sg005
315,172.3930206298828,sg005
316,48.47259521484375,sg005
317,32.9135627746582,sg005
318,69.92262268066406,sg005
319,5.867275714874268,sg005
320,3.1956799030303955,sg005
321,12.049708366394043,sg005
322,36.592281341552734,sg005
323,36.94152069091797,sg005
324,7.9042277336120605,sg005
325,10.384796142578125,sg005
326,11.066385269165039,sg005
327,64.21475219726562,sg005
328,76.35625457763672,sg005
329,18.934688568115234,sg005
330,6.577861309051514,sg005
331,5.487771034240723,sg005
332,329.2891845703125,sg005
333,24.766429901123047,sg005
334,32.945255279541016,sg005
335,25.461711883544922,sg005
336,3852.103515625,sg005
337,139.66436767578125,sg005
338,99.5018081665039,sg005
339,730.2792358398438,sg005
340,20.690271377563477,sg005
341,5.5357441902160645,sg005
342,41.48889923095703,sg005
343,132.3826904296875,sg005
344,84.8720932006836,sg005
345,18.749835968017578,sg005
346,15.64484977722168,sg005
347,208.60731506347656,sg005
348,58.039405822753906,sg005
349,12.93232250213623,sg005
350,104.24919891357422,sg005
351,61.64216995239258,sg005
352,36.8886833190918,sg005
353,6.910581111907959,sg005
354,38.985443115234375,sg005
355,300.7176513671875,sg005
356,47.03987121582031,sg005
357,21.008176803588867,sg005
358,19.515491485595703,sg005
359,16.440359115600586,sg005
360,251.11376953125,sg005
361,1489.7333984375,sg005
362,104.9085922241211,sg005
363,67.03514862060547,sg005
364,17.646699905395508,sg005
365,81.21952056884766,sg005
366,85.1128921508789,sg005
367,25.19266700744629,sg005
368,1079.1474609375,sg005
369,34.21223068237305,sg005
370,5.9436259269714355,sg005
371,7.131052494049072,sg005
372,3472.046875,sg005
373,18.35955238342285,sg005
374,56.797420501708984,sg005
375,12.233495712280273,sg005
376,6.090559482574463,sg005
377,25.91684341430664,sg005
378,22.274188995361328,sg005
379,11.801602363586426,sg005
380,24.910085678100586,sg005
381,1025.2041015625,sg005
382,2.9476981163024902,sg005
383,22.646665573120117,sg005
384,3.5933265686035156,sg005
385,30.3288516998291,sg005
386,28.0909481048584,sg005
387,45.767120361328125,sg005
388,11.446282386779785,sg005
389,3.1411592960357666,sg005
390,1159.058349609375,sg005
391,12.258091926574707,sg005
392,71.3385238647461,sg005
393,11.586462020874023,sg005
394,3.2224059104919434,sg005
395,49.27391815185547,sg005
396,194.14967346191406,sg005
397,101.56058502197266,sg005
398,60.92047882080078,sg005
399,9.432380676269531,sg005
400,942.4585571289062,shap
401,3059.818115234375,shap
402,15215.5947265625,shap
403,7212.68896484375,shap
404,963.7684936523438,shap
405,1356.4903564453125,shap
406,1199.0164794921875,shap
407,21228.99609375,shap
408,738.0745849609375,shap
409,4817.642578125,shap
410,450.14276123046875,shap
411,3127.229248046875,shap
412,2122.839111328125,shap
413,1112.7418212890625,shap
414,11397.3388671875,shap
415,33428.078125,shap
416,3731.6630859375,shap
417,5532.0595703125,shap
418,30873.73046875,shap
419,1025.5584716796875,shap
420,1692.524169921875,shap
