,Stability,Method,Denominator Distance,Explanation Distance
166,133.18871743922526,ig,0.7792266,103.784191598207
167,114.63624321221742,ig,0.69107795,79.22257968157399
168,103.30342320172949,ig,0.68817884,71.09122966800858
169,81.91580395033155,ig,0.31107932,25.48231285977114
170,110.18746320180898,ig,0.5222989,57.550787790728734
171,130.5654937255495,ig,0.9077881,118.52580119506321
172,124.3138807919018,ig,0.6900466,85.78237182346436
173,107.88410202371836,ig,0.5118185,55.21708231129926
174,121.02795530007842,ig,0.6539185,79.142419558537
175,121.43014773467814,ig,0.6572885,79.81463865458244
176,120.4184737993533,ig,0.66269606,79.80084856173997
177,102.98828891091232,ig,0.3878335,39.94230915175949
178,47.56972438142067,ig,0.021003515,0.9991313971511845
179,90.59377095842514,ig,0.10998331,9.963802804758355
180,71.14872104204541,ig,0.43084788,30.654275855094802
181,74.98173038318157,ig,0.13189837,9.889968269664806
182,108.99609371824786,ig,0.6709884,73.13511244940906
183,87.02588298181898,ig,0.35906252,31.247733079275175
184,117.65541609119889,ig,0.6623287,77.92656115166646
185,115.73238222936952,ig,0.74409515,86.11590392781517
186,90.44873826558266,ig,0.5489413,49.6510492530885
187,103.48084993442124,ig,0.38659543,40.005223469162374
188,109.16118917374027,ig,0.50770664,55.42186080859655
189,92.0706557068245,ig,0.4675793,43.05033322212436
190,145.28416649956532,ig,0.90737146,131.82670647374917
191,73.7323767511628,ig,0.4440952,32.74419418243947
192,109.4045986524425,ig,0.8764518,95.88785635957403
193,119.36153943379026,ig,0.6508661,77.68837861701772
194,117.69776003727324,ig,0.89539844,105.38639049074706
195,82.15444915466958,ig,0.63596195,52.24710367122606
196,125.52554194143185,ig,0.72381234,90.85693645454207
197,73.33761091611798,ig,0.31523097,23.11828590493508
198,111.12113117898436,ig,0.69650656,77.39659680398
199,81.21460369557073,ig,0.24935582,20.25133432801409
200,15440.513671875,itg,0.0046926667,72.45718383789062
201,48065.52734375,itg,0.00078827573,37.88888931274414
202,12542.53125,itg,0.00061837706,7.7560133934021
203,9261.5146484375,itg,0.0051376475,47.5823974609375
204,68515.21875,itg,0.00023204164,15.898384094238281
205,8743.5439453125,itg,0.00033195916,2.9024994373321533
206,19658.697265625,itg,0.0029716685,58.419132232666016
207,7655.541015625,itg,0.001125669,8.617605209350586
208,20650.451171875,itg,0.004172814,86.17049407958984
209,3114.19482421875,itg,0.001990321,6.19824743270874
210,12385.9990234375,itg,0.00073321775,9.081634521484375
211,13809.685546875,itg,0.0009023834,12.461630821228027
212,2088.46826171875,itg,0.0010524245,2.197955369949341
213,16806.572265625,itg,0.0003111301,5.229030609130859
214,14337.7646484375,itg,0.0011055304,15.850834846496582
215,16460.275390625,itg,0.00048363867,7.9608259201049805
216,10217.724609375,itg,0.00074329146,7.594747543334961
