,Faithfulness,Std_Deviation,Method
180,0.16849661,0.05,sg010
181,0.011827074,0.05,sg010
182,0.011653632,0.05,sg010
183,0.1263637,0.05,sg010
184,0.10441202,0.05,sg010
185,0.07903738,0.05,sg010
186,0.070777684,0.05,sg010
187,0.21795622,0.05,sg010
188,0.3199488,0.05,sg010
189,0.22602865,0.05,sg010
190,0.18945067,0.05,sg010
191,0.20072027,0.05,sg010
192,0.006548954,0.05,sg010
193,0.07563466,0.05,sg010
194,0.11968806,0.05,sg010
195,0.0065887487,0.05,sg010
196,0.25884557,0.05,sg010
197,0.10190944,0.05,sg010
198,0.07557546,0.05,sg010
199,0.26990274,0.05,sg010
200,0.25719377,0.05,sg010
201,0.033716477,0.05,sg010
202,0.06207924,0.05,sg010
203,0.029837014,0.05,sg010
204,0.19989067,0.05,sg010
205,0.1976454,0.05,sg010
206,0.25238183,0.05,sg010
207,0.20422262,0.05,sg010
208,0.31887308,0.05,sg010
209,0.116901375,0.05,sg010
210,0.31711316,0.05,lrp
211,0.044044934,0.05,lrp
212,0.043535843,0.05,lrp
213,0.33354214,0.05,lrp
214,0.24550685,0.05,lrp
215,0.2607624,0.05,lrp
216,0.012337204,0.05,lrp
217,0.012409802,0.05,lrp
218,0.19407906,0.05,lrp
219,0.19502354,0.05,lrp
220,0.10017299,0.05,lrp
221,0.071868256,0.05,lrp
222,0.283977,0.05,lrp
223,0.27874866,0.05,lrp
224,0.25009784,0.05,lrp
225,0.2643536,0.05,lrp
226,0.2461544,0.05,lrp
227,0.0104058245,0.05,lrp
228,0.1663134,0.05,lrp
229,0.108491495,0.05,lrp
230,0.043634012,0.05,lrp
231,0.18315451,0.05,lrp
232,0.10258989,0.05,lrp
233,0.046340182,0.05,lrp
234,0.26954916,0.05,lrp
235,0.3041191,0.05,lrp
236,0.039819222,0.05,lrp
237,0.053112604,0.05,lrp
238,0.053347584,0.05,lrp
239,0.3127108,0.05,lrp
240,0.2754802,0.05,lrp
241,0.30297682,0.05,lrp
242,0.28016907,0.05,lrp
243,0.32940385,0.05,lrp
244,0.10466031,0.05,lrp
245,0.35239032,0.05,shap
246,0.014727087,0.05,shap
247,0.02211685,0.05,shap
248,0.33706024,0.05,shap
249,0.23096144,0.05,shap
250,0.23412725,0.05,shap
251,0.012194987,0.05,shap
252,0.007118506,0.05,shap
253,0.114759624,0.05,shap
254,0.11639744,0.05,shap
255,0.099426754,0.05,shap
256,0.13049714,0.05,shap
257,0.22533838,0.05,shap
258,0.25501147,0.05,shap
259,0.28150642,0.05,shap
260,0.24770656,0.05,shap
261,0.20457259,0.05,shap
262,0.008140646,0.05,shap
263,0.06314065,0.05,shap
264,0.11800716,0.05,shap
265,0.007142915,0.05,shap
266,0.20256796,0.05,shap
267,0.13980478,0.05,shap
268,0.06460245,0.05,shap
269,0.2631991,0.05,shap
270,0.26605856,0.05,shap
271,0.052082457,0.05,shap
272,0.056399,0.05,shap
273,0.039843697,0.05,shap
274,0.2811698,0.05,shap
275,0.19361345,0.05,shap
276,0.23936714,0.05,shap
277,0.23988923,0.05,shap
278,0.30447412,0.05,shap
279,0.10189238,0.05,shap
280,0.27664834,0.05,lime003
281,0.018598907,0.05,lime003
282,0.022945812,0.05,lime003
283,0.32334146,0.05,lime003
284,0.17472191,0.05,lime003
285,0.1532287,0.05,lime003
286,0.00914555,0.05,lime003
287,0.010510816,0.05,lime003
288,0.11389568,0.05,lime003
289,0.11094952,0.05,lime003
290,0.07703675,0.05,lime003
291,0.07149539,0.05,lime003
292,0.21383788,0.05,lime003
293,0.24103174,0.05,lime003
294,0.22348122,0.05,lime003
295,0.23616177,0.05,lime003
296,0.21261574,0.05,lime003
297,0.006256483,0.05,lime003
298,0.056478098,0.05,lime003
299,0.124000676,0.05,lime003
300,0.005555013,0.05,lime003
301,0.17483507,0.05,lime003
302,0.105312385,0.05,lime003
303,0.04941213,0.05,lime003
304,0.2653721,0.05,lime003
305,0.24926561,0.05,lime003
306,0.05272061,0.05,lime003
307,0.06972282,0.05,lime003
308,0.04017525,0.05,lime003
309,0.23670296,0.05,lime003
310,0.19051857,0.05,lime003
311,0.26466846,0.05,lime003
312,0.18789512,0.05,lime003
313,0.34722286,0.05,lime003
314,0.10254561,0.05,lime003
315,0.28561145,0.05,lime005
316,0.012991412,0.05,lime005
317,0.022507662,0.05,lime005
318,0.32876188,0.05,lime005
319,0.1903433,0.05,lime005
320,0.19119915,0.05,lime005
321,0.010328628,0.05,lime005
322,0.009794551,0.05,lime005
323,0.13618065,0.05,lime005
324,0.1207607,0.05,lime005
325,0.106041014,0.05,lime005
326,0.074843146,0.05,lime005
327,0.2199378,0.05,lime005
328,0.28817964,0.05,lime005
329,0.2243405,0.05,lime005
330,0.19180238,0.05,lime005
331,0.18705353,0.05,lime005
332,0.00733622,0.05,lime005
333,0.06681763,0.05,lime005
334,0.12925933,0.05,lime005
335,0.008199986,0.05,lime005
336,0.17305157,0.05,lime005
337,0.09166316,0.05,lime005
338,0.045425087,0.05,lime005
339,0.25209865,0.05,lime005
340,0.25021297,0.05,lime005
341,0.055477336,0.05,lime005
342,0.055943068,0.05,lime005
343,0.041446954,0.05,lime005
344,0.22427891,0.05,lime005
345,0.21624741,0.05,lime005
346,0.2842945,0.05,lime005
347,0.20828903,0.05,lime005
348,0.34041312,0.05,lime005
349,0.10341306,0.05,lime005
350,0.23262635,0.05,lime01
351,0.014977322,0.05,lime01
352,0.021047702,0.05,lime01
353,0.3315942,0.05,lime01
354,0.19042131,0.05,lime01
355,0.17245583,0.05,lime01
356,0.010997954,0.05,lime01
357,0.0081470255,0.05,lime01
358,0.1415245,0.05,lime01
359,0.10656156,0.05,lime01
360,0.08818146,0.05,lime01
361,0.06610135,0.05,lime01
362,0.2194832,0.05,lime01
363,0.25241986,0.05,lime01
364,0.20239714,0.05,lime01
365,0.21663687,0.05,lime01
