,Faithfulness,Std_Deviation,Method
0,0.030757625,0.05,grad
1,0.06724568,0.05,grad
2,0.31811762,0.05,grad
3,0.17163447,0.05,grad
4,0.19700791,0.05,grad
5,0.07051793,0.05,grad
6,0.32121754,0.05,grad
7,0.19388919,0.05,grad
8,0.17564033,0.05,grad
9,0.10433698,0.05,grad
10,0.20170225,0.05,grad
11,0.3233307,0.05,grad
12,0.26306447,0.05,grad
13,0.24804728,0.05,grad
14,0.037747763,0.05,grad
15,0.29708916,0.05,grad
16,0.254819,0.05,grad
17,0.055821486,0.05,grad
18,0.16476972,0.05,grad
19,0.27663338,0.05,grad
20,0.16520244,0.05,grad
21,0.21436314,0.05,grad
22,0.30913422,0.05,grad
23,0.28592014,0.05,grad
24,0.16188903,0.05,grad
25,0.04571359,0.05,grad
26,0.21199466,0.05,grad
27,0.26291698,0.05,grad
28,0.25162926,0.05,grad
29,0.3062828,0.05,grad
30,0.24675947,0.05,grad
31,0.2968394,0.05,grad
32,0.17071354,0.05,grad
33,0.05634151,0.05,grad
34,0.171344,0.05,grad
35,0.06707983,0.05,ig
36,0.08801938,0.05,ig
37,0.31549373,0.05,ig
38,0.18996505,0.05,ig
39,0.22262806,0.05,ig
40,0.06621447,0.05,ig
41,0.32701698,0.05,ig
42,0.18982929,0.05,ig
43,0.18924977,0.05,ig
44,0.09745213,0.05,ig
45,0.24645108,0.05,ig
46,0.3295191,0.05,ig
47,0.2152615,0.05,ig
48,0.28107002,0.05,ig
49,0.06052227,0.05,ig
50,0.30789927,0.05,ig
51,0.22008167,0.05,ig
52,0.087769546,0.05,ig
53,0.13358296,0.05,ig
54,0.29447797,0.05,ig
55,0.17929238,0.05,ig
56,0.22954643,0.05,ig
57,0.32965145,0.05,ig
58,0.27042708,0.05,ig
59,0.17798644,0.05,ig
60,0.06560287,0.05,ig
61,0.18812975,0.05,ig
62,0.23502392,0.05,ig
63,0.29060844,0.05,ig
64,0.27887633,0.05,ig
65,0.28559452,0.05,ig
66,0.31670663,0.05,ig
67,0.16540821,0.05,ig
68,0.040213212,0.05,ig
69,0.15532446,0.05,ig
70,0.04928558,0.05,itg
71,0.12995279,0.05,itg
72,0.33249828,0.05,itg
73,0.17350447,0.05,itg
74,0.21314162,0.05,itg
75,0.06209072,0.05,itg
76,0.31000748,0.05,itg
77,0.21952799,0.05,itg
78,0.15875196,0.05,itg
79,0.0918241,0.05,itg
80,0.18328528,0.05,itg
81,0.3295518,0.05,itg
82,0.20677817,0.05,itg
83,0.2544048,0.05,itg
84,0.043923534,0.05,itg
85,0.31351587,0.05,itg
86,0.25669578,0.05,itg
87,0.05450247,0.05,itg
88,0.13939822,0.05,itg
89,0.3186494,0.05,itg
90,0.14219905,0.05,itg
91,0.22194034,0.05,itg
92,0.33219165,0.05,itg
