,Stability,Method
78,161.2069091796875,grad
79,7035.90185546875,grad
80,692.3006591796875,grad
81,39.960140228271484,grad
82,62.59689712524414,grad
83,21595.53515625,grad
84,5953.42138671875,grad
85,229.16427612304688,grad
86,261.1007995605469,grad
87,35.98039245605469,grad
88,1307.0013427734375,grad
89,4482.63818359375,grad
90,51.429874420166016,grad
91,39.75344467163086,grad
92,1277.7412109375,grad
93,1522.7733154296875,grad
94,34.02566909790039,grad
95,4871.94921875,grad
96,31.85679054260254,grad
97,40.27870178222656,grad
98,983.2926025390625,grad
99,1049.3743896484375,grad
100,392.63816921279226,ig
101,560.8387363969248,ig
102,350.629021948706,ig
103,995.4728879111597,ig
104,9009.22285224812,ig
105,661.7235046621714,ig
106,441.05357980919126,ig
107,548.9917906746534,ig
108,622.2372329222633,ig
109,1789.4897816221794,ig
110,521.269310345021,ig
111,1464.4523963962959,ig
112,319.3816328797049,ig
113,220.2314360102469,ig
114,576.6410021989233,ig
115,169.20534895019574,ig
116,152.83396792373296,ig
117,676.1528055592382,ig
118,121.81642142852805,ig
119,278.7069505904407,ig
120,186.34645670628544,ig
121,755.7186704741493,ig
122,246.53059094078574,ig
123,345.32549024498564,ig
124,242.93707225976658,ig
125,1361.1202289977775,ig
126,743.7678747339888,ig
127,2622.3096064780248,ig
128,1620.7955939440337,ig
129,4728.5212896237135,ig
130,408.94435211885883,ig
131,645.723476131289,ig
132,146.4609555810648,ig
133,436.0590076413878,ig
134,221.09765816755527,ig
135,11148.291787623992,ig
136,127.12928732007437,ig
137,171.08282113194096,ig
138,2516.688557161896,ig
139,2103.161069862883,ig
140,543.556545787082,ig
141,1324.1550899760514,ig
142,197036.88335768276,ig
143,2485.921279242446,ig
144,8605.650428713998,ig
145,3237.371517742156,ig
146,297.25606683540127,ig
147,239.98075152315423,ig
148,156.65191600235528,ig
149,2189.3693578539505,ig
150,132.4660608801229,ig
151,324986.1762859024,ig
152,1778.7186130445853,ig
153,541.3522702249347,ig
154,476.39029396495295,ig
155,462.88724713280874,ig
156,975.9566849477612,ig
157,17277.269670013324,ig
158,4628.870360159193,ig
159,630.5224696006426,ig
160,195.0242342112677,ig
161,465.5306784839568,ig
162,2130.4195138100094,ig
163,1516.8264811405215,ig
164,674.9945045396536,ig
165,951.7503260161997,ig
166,163.50114906492487,ig
167,401.88086181769785,ig
168,2297.253013161387,ig
169,1225.8222867168884,ig
170,278.60377339683004,ig
171,210.5517359909425,ig
172,3831.4428584774237,ig
173,261.6797018876969,ig
174,1428.011590675503,ig
175,137.86430457476726,ig
176,2893.8293061046725,ig
177,1132.014499736404,ig
178,2207.064688299846,ig
179,2837.5902409338382,ig
180,524.4586494088463,ig
181,14551.296070719194,ig
182,871.0974377935556,ig
183,11657.175446854511,ig
184,4638.091916273585,ig
185,311.3512682729662,ig
186,401.1289942215623,ig
187,663.4747969973168,ig
188,375.83325056287777,ig
189,2113.1401512832485,ig
190,1797.9075161281912,ig
191,1108.8560447203877,ig
192,2462.594000753429,ig
193,839.356967602054,ig
194,172.3049830982786,ig
195,4079.3069267484843,ig
196,377.11690394764884,ig
197,111.5926517342998,ig
198,924.6795470314825,ig
199,348.22556962082047,ig
200,274.868408203125,itg
201,702.0926513671875,itg
202,1308.0435791015625,itg
203,593.4182739257812,itg
204,42771.74609375,itg
205,79.15827178955078,itg
206,488.3899841308594,itg
207,601.1270751953125,itg
208,1905.012451171875,itg
209,1884.6844482421875,itg
210,2419.420166015625,itg
211,3478.1337890625,itg
212,136.91819763183594,itg
213,21.272050857543945,itg
214,7147.0283203125,itg
215,11.067992210388184,itg
216,29.528486251831055,itg
217,163.87571716308594,itg
218,32.52741241455078,itg
219,16.24936294555664,itg
220,32.803466796875,itg
221,203.94046020507812,itg
222,76.86791229248047,itg
223,534.7271118164062,itg
224,209.33712768554688,itg
225,4838.10400390625,itg
226,2903.33154296875,itg
227,17171.171875,itg
228,10772.630859375,itg
229,4880.10595703125,itg
230,628.5151977539062,itg
231,18.326078414916992,itg
232,32.65522766113281,itg
233,133.80709838867188,itg
234,21.894603729248047,itg
