,Faithfulness,Std_Deviation,Method
0,0.52182627,0.05,sg003
1,0.05056545,0.05,sg003
2,0.32616764,0.05,sg003
3,0.07400195,0.05,sg003
4,0.24416652,0.05,sg003
5,0.024525866,0.05,sg003
6,0.077632986,0.05,sg003
7,0.36148518,0.05,sg003
8,0.32388088,0.05,sg003
9,0.20776209,0.05,sg003
10,0.028009154,0.05,sg003
11,0.18767351,0.05,sg003
12,0.00030184866,0.05,sg003
13,0.31073433,0.05,sg003
14,6.556511e-08,0.05,sg003
15,0.13388473,0.05,sg003
16,3.3898352e-05,0.05,sg003
17,0.097526886,0.05,sg003
18,0.23300296,0.05,sg003
19,0.0018250728,0.05,sg003
20,0.06957859,0.05,sg003
21,0.36000755,0.05,sg003
22,0.37818614,0.05,sg003
23,0.28068832,0.05,sg003
24,0.030782307,0.05,sg003
25,0.040139776,0.05,sg003
26,0.24046998,0.05,sg003
27,0.12300406,0.05,sg003
28,0.22257125,0.05,sg003
29,0.40802366,0.05,sg003
30,0.5245077,0.05,sg005
31,0.026928823,0.05,sg005
32,0.2897309,0.05,sg005
33,0.12757061,0.05,sg005
34,0.1989111,0.05,sg005
35,0.036527034,0.05,sg005
36,0.04426706,0.05,sg005
37,0.3385953,0.05,sg005
38,0.27131748,0.05,sg005
39,0.23235403,0.05,sg005
40,0.03902372,0.05,sg005
41,0.10933218,0.05,sg005
42,0.00028867542,0.05,sg005
43,0.36434737,0.05,sg005
44,9.407639e-05,0.05,sg005
45,0.112892225,0.05,sg005
46,1.2910366e-06,0.05,sg005
47,0.09126146,0.05,sg005
48,0.23090202,0.05,sg005
49,0.00015280842,0.05,sg005
50,0.10134827,0.05,sg005
51,0.32422447,0.05,sg005
52,0.3209024,0.05,sg005
53,0.22555874,0.05,sg005
54,0.106437184,0.05,sg005
55,0.009738073,0.05,sg005
56,0.23625004,0.05,sg005
57,0.14360392,0.05,sg005
58,0.2405941,0.05,sg005
59,0.4106967,0.05,sg005
60,0.49419358,0.05,sg010
61,0.018293256,0.05,sg010
62,0.3804677,0.05,sg010
63,0.09736663,0.05,sg010
64,0.25024027,0.05,sg010
65,0.05408743,0.05,sg010
66,0.13058536,0.05,sg010
67,0.33676457,0.05,sg010
68,0.27941552,0.05,sg010
69,0.21981245,0.05,sg010
70,0.044170186,0.05,sg010
71,0.14280991,0.05,sg010
72,0.0026875853,0.05,sg010
73,0.37162703,0.05,sg010
74,0.0005992991,0.05,sg010
75,0.1149358,0.05,sg010
76,0.003302027,0.05,sg010
77,0.10852463,0.05,sg010
78,0.40363076,0.05,sg010
79,0.015128309,0.05,sg010
80,0.20544848,0.05,sg010
81,0.2822666,0.05,sg010
82,0.26015714,0.05,sg010
83,0.29616475,0.05,sg010
84,0.07259419,0.05,sg010
85,0.02559277,0.05,sg010
86,0.27207595,0.05,sg010
87,0.13729922,0.05,sg010
88,0.12474237,0.05,sg010
89,0.41305447,0.05,sg010
