,Stability,Method
88,11.888190269470215,grad
89,3673.50439453125,grad
90,4627.85400390625,grad
91,458.1940612792969,grad
92,467.1890563964844,grad
93,2125.030517578125,grad
94,495.8577575683594,grad
95,239.08934020996094,grad
96,1301.146240234375,grad
97,358.7713623046875,grad
98,236.16436767578125,grad
99,1505.341796875,grad
100,101.5355266078973,ig
101,2182.2997153903007,ig
102,1524.7808433056757,ig
103,850.5098239830838,ig
104,126.8846435917247,ig
105,709.097506503062,ig
106,1016.6158296038667,ig
107,935.1720280966224,ig
108,688.3585298683145,ig
109,823.296520655571,ig
110,2581.5446469062053,ig
111,2322.730196218095,ig
112,129.5163433666458,ig
113,1028.7519238643508,ig
114,815.4747415333699,ig
115,1650.4786678743221,ig
116,739.8433548500002,ig
117,919.8220194598362,ig
118,206.2499593329824,ig
119,478.8069486276895,ig
120,2444.9872603242775,ig
121,754.8869254703305,ig
122,1711.871182863964,ig
123,742.1493122100285,ig
124,829.5137618583404,ig
125,731.3797989809918,ig
126,1071.1816932808933,ig
127,602.8182283317141,ig
128,2525.001494688421,ig
129,1909.719836660487,ig
130,723.4622189546601,ig
131,650.9243538361663,ig
132,771.7111141171498,ig
133,1058.7304037481658,ig
134,845.113483823371,ig
135,687.8800788442363,ig
136,2827.8945851866943,ig
137,1013.0821317440892,ig
138,783.3245423114813,ig
139,2565.1079957808915,ig
140,1607.0071094748694,ig
141,1877.4586305690127,ig
142,892.9643388099965,ig
143,134.64002828839128,ig
144,1939.2476446397957,ig
145,358.6643814784102,ig
146,456.01471315108745,ig
147,2385.144523527218,ig
148,1265.7900058644605,ig
149,745.22773294133,ig
150,864.5756876207242,ig
151,103.48148376060082,ig
152,2151.315728632566,ig
153,2262.9341762608597,ig
154,204.04645702204817,ig
155,619.0305109833756,ig
156,2702.228103285007,ig
157,1528.929085119266,ig
158,2612.933093396524,ig
159,1171.1652418983272,ig
160,830.9610977473232,ig
161,2613.070770571369,ig
162,1698.5144842963339,ig
163,2715.043723475335,ig
164,700.9588715237104,ig
165,83.29153904073713,ig
166,2205.7635797636894,ig
167,117.97884669713319,ig
168,1315.7582388778503,ig
169,977.5030995816461,ig
170,2504.3138680182956,ig
171,368.311894767999,ig
172,598.4732110824826,ig
173,958.5595996482473,ig
174,686.7825806842399,ig
175,1200.578553328495,ig
176,1373.7053977450635,ig
177,592.6142460763961,ig
178,1091.177000175282,ig
179,537.4224012241434,ig
180,2823.145341534002,ig
181,52261824.36131354,ig
182,1182.8168563443073,ig
183,1820.782567642999,ig
184,2571.363820352683,ig
185,1552.772844361758,ig
186,2457.6992092329165,ig
187,115.3729731821245,ig
188,370231201.25998336,ig
189,2225.0984933599857,ig
190,2750.852630159669,ig
191,80.98136228094624,ig
192,803.9936326761149,ig
193,1442.3488610979389,ig
194,127.06352524360531,ig
195,553.4606239794309,ig
196,1284.1927040471426,ig
197,605.116814603268,ig
198,152.8911365724669,ig
199,1460.9154264966435,ig
200,5035.45166015625,itg
201,1985.2269287109375,itg
202,1197.1319580078125,itg
203,272.5654296875,itg
204,27842.546875,itg
205,332.3326721191406,itg
206,322.7806701660156,itg
207,236.45761108398438,itg
208,408.2436828613281,itg
209,1476.9180908203125,itg
210,3118.756591796875,itg
211,2229.7783203125,itg
212,69888.03125,itg
213,186.3241424560547,itg
214,111.95406341552734,itg
215,9222.5380859375,itg
216,631.662841796875,itg
217,369.261474609375,itg
218,1702.97998046875,itg
219,62.983909606933594,itg
220,13222.2119140625,itg
221,1530166.875,itg
222,1507.77099609375,itg
223,255.9546661376953,itg
224,2495.46484375,itg
225,887.3773803710938,itg
226,1756.138427734375,itg
227,90.96795654296875,itg
228,3617.555419921875,itg
229,5789.568359375,itg
230,1331.0364990234375,itg
231,293.58660888671875,itg
232,713.5994873046875,itg
233,1444.4808349609375,itg
234,398.1598815917969,itg
235,102.08402252197266,itg
236,6907.37939453125,itg
237,5468.90380859375,itg
238,725.6448364257812,itg
239,8575.1240234375,itg
240,6321.26904296875,itg
241,1229.60888671875,itg
242,136.4743194580078,itg
243,758.0249633789062,itg
244,4149.08544921875,itg
245,57.6749153137207,itg
246,129.44570922851562,itg
247,13163.0048828125,itg
248,2463.260986328125,itg
249,214.69134521484375,itg
250,445.0481262207031,itg
251,215.86761474609375,itg
252,2411.9326171875,itg
253,4652.802734375,itg
254,1804.416015625,itg
255,1520.3782958984375,itg
256,9401.2119140625,itg
257,2365.158935546875,itg
258,8470.5166015625,itg
259,6247.1455078125,itg
260,245.03436279296875,itg
261,5419.13037109375,itg
262,1212.21044921875,itg
263,11218.845703125,itg
264,300.6007080078125,itg
265,56.74280548095703,itg
266,20547.791015625,itg
267,41899.69140625,itg
268,1373.9989013671875,itg
269,489.6222229003906,itg
270,94735.21875,itg
271,133.12625122070312,itg
272,106.0949935913086,itg
273,778.077392578125,itg
274,407.4312438964844,itg
275,6968.92333984375,itg
276,2215.917724609375,itg
277,1105.6802978515625,itg
278,373.3610534667969,itg
279,81.88070678710938,itg
280,8253.423828125,itg
281,24.905900955200195,itg
282,2540.960205078125,itg
283,1807.854736328125,itg
284,7258.17822265625,itg
285,1457.615478515625,itg
286,4944.951171875,itg
287,5739.74560546875,itg
288,19.167558670043945,itg
289,1553.56884765625,itg
290,2191.09326171875,itg
291,488940.8125,itg
292,893.6590576171875,itg
293,559.6024169921875,itg
294,16759.4140625,itg
295,860.2483520507812,itg
296,441.1178894042969,itg
297,68.3720703125,itg
298,397.7668151855469,itg
299,267.69635009765625,itg
300,10.418170928955078,sg005
301,2.3974006175994873,sg005
302,14.207071304321289,sg005
303,8.553812026977539,sg005
304,96.00004577636719,sg005
305,2.977917432785034,sg005
306,4.837338447570801,sg005
307,13.783764839172363,sg005
308,5.734644412994385,sg005
309,71.69700622558594,sg005
310,7.780733585357666,sg005
311,12.010078430175781,sg005
312,133.69113159179688,sg005
313,1.766010046005249,sg005
314,3.0537102222442627,sg005
315,67.62688446044922,sg005
316,5.616210460662842,sg005
317,6.889063835144043,sg005
318,263.12457275390625,sg005
319,11.188007354736328,sg005
320,11.03114128112793,sg005
321,52353.2734375,sg005
322,11.740829467773438,sg005
323,18.967039108276367,sg005
324,26.890422821044922,sg005
325,17.16814613342285,sg005
326,10.003686904907227,sg005
327,14.761011123657227,sg005
328,9.991144180297852,sg005
329,42.092620849609375,sg005
330,56.803245544433594,sg005
331,39.85000228881836,sg005
332,22.229156494140625,sg005
333,8.423354148864746,sg005
334,4.7125959396362305,sg005
335,4.991828918457031,sg005
336,16.460140228271484,sg005
337,93.31604766845703,sg005
338,10.013810157775879,sg005
339,5.977282524108887,sg005
340,60.85134506225586,sg005
341,4.346856594085693,sg005
342,1.2211813926696777,sg005
343,64.688720703125,sg005
344,23.22226905822754,sg005
345,7.157517433166504,sg005
346,14.202853202819824,sg005
347,20.434276580810547,sg005
348,37.535762786865234,sg005
349,3.0883524417877197,sg005
350,18.67280387878418,sg005
351,24.331478118896484,sg005
352,15.7356538772583,sg005
353,86.89488983154297,sg005
354,20.207523345947266,sg005
355,81.91569519042969,sg005
356,37.669246673583984,sg005
357,41.306922912597656,sg005
358,7.483731746673584,sg005
359,145.33474731445312,sg005
360,11.34995174407959,sg005
361,13.5222806930542,sg005
362,11.849813461303711,sg005
363,9.810154914855957,sg005
364,18.351652145385742,sg005
365,24.0916690826416,sg005
366,12.492629051208496,sg005
367,53.65403747558594,sg005
368,6.8131422996521,sg005
369,24.795026779174805,sg005
370,92.02581024169922,sg005
371,60.56501007080078,sg005
372,8.178789138793945,sg005
373,4.805557727813721,sg005
374,5.851823329925537,sg005
375,25.58811378479004,sg005
376,28.295894622802734,sg005
377,60.00271987915039,sg005
378,1.8631694316864014,sg005
379,10.327095031738281,sg005
380,53.24008560180664,sg005
381,176572256.0,sg005
382,13.475342750549316,sg005
383,6.015990257263184,sg005
384,16.261123657226562,sg005
385,8.110200881958008,sg005
386,9.686399459838867,sg005
387,11.401772499084473,sg005
388,2242981632.0,sg005
389,7.437788486480713,sg005
390,4.892233848571777,sg005
391,596.1324462890625,sg005
