,Faithfulness,Std_Deviation,Method
0,0.14562792,0.05,grad
1,0.24265778,0.05,grad
2,0.31433967,0.05,grad
3,0.4124369,0.05,grad
4,0.36422127,0.05,grad
5,0.16764696,0.05,grad
6,0.16523577,0.05,grad
7,0.45294532,0.05,grad
8,0.36727718,0.05,grad
9,0.35842887,0.05,grad
10,0.38132027,0.05,grad
11,0.16209598,0.05,grad
12,0.25089705,0.05,grad
13,0.30283004,0.05,grad
14,0.108209364,0.05,grad
15,0.19939202,0.05,grad
16,0.1606241,0.05,grad
17,0.4600073,0.05,grad
18,0.45091522,0.05,grad
19,0.33907068,0.05,grad
20,0.3675419,0.05,grad
21,0.43760574,0.05,grad
22,0.17475788,0.05,grad
23,0.27823955,0.05,grad
24,0.25278908,0.05,grad
25,0.1525406,0.05,grad
26,0.14690448,0.05,grad
27,0.19348145,0.05,grad
28,0.12858003,0.05,grad
29,0.067168094,0.05,grad
30,0.16998225,0.05,grad
31,0.25180954,0.05,grad
32,0.34086025,0.05,grad
33,0.10515003,0.05,grad
34,0.27801934,0.05,grad
35,0.13073051,0.05,ig
36,0.2969244,0.05,ig
37,0.26007745,0.05,ig
38,0.4143111,0.05,ig
39,0.3723635,0.05,ig
40,0.1860196,0.05,ig
41,0.18773514,0.05,ig
42,0.42076465,0.05,ig
43,0.37462318,0.05,ig
44,0.3752658,0.05,ig
45,0.38271618,0.05,ig
46,0.17324024,0.05,ig
47,0.2888444,0.05,ig
48,0.3446155,0.05,ig
49,0.10734608,0.05,ig
50,0.167565,0.05,ig
51,0.16623142,0.05,ig
52,0.40714973,0.05,ig
53,0.43521735,0.05,ig
54,0.28360385,0.05,ig
55,0.31433782,0.05,ig
56,0.43390644,0.05,ig
57,0.17882301,0.05,ig
58,0.35984212,0.05,ig
59,0.33440143,0.05,ig
60,0.17995451,0.05,ig
61,0.14631489,0.05,ig
62,0.18297438,0.05,ig
63,0.105963916,0.05,ig
64,0.047253348,0.05,ig
65,0.17158163,0.05,ig
66,0.3798001,0.05,ig
67,0.36123526,0.05,ig
68,0.11369515,0.05,ig
69,0.36302352,0.05,ig
70,0.41742048,0.05,itg
71,0.026598882,0.05,itg
72,0.059003215,0.05,itg
73,0.21279913,0.05,itg
74,0.1386943,0.05,itg
75,0.42124057,0.05,itg
76,0.42185017,0.05,itg
77,0.26169038,0.05,itg
78,0.093903095,0.05,itg
79,0.19226429,0.05,itg
80,0.34310696,0.05,itg
81,0.41765583,0.05,itg
82,0.016563497,0.05,itg
83,0.067375205,0.05,itg
84,0.39935124,0.05,itg
85,0.42089698,0.05,itg
86,0.43747756,0.05,itg
87,0.25504276,0.05,itg
88,0.21107273,0.05,itg
89,0.35894257,0.05,itg
90,0.095548056,0.05,itg
91,0.26397157,0.05,itg
92,0.43917084,0.05,itg
93,0.06661021,0.05,itg
94,0.3525369,0.05,itg
95,0.17670146,0.05,itg
